"","rating","position","summary","good","challenges"
160,4.0,"Operational supervisor","Selling food anda drink by the roadside","To fine a versatile experience and will do the best.","The challenges i will do is to work harder and do the best for the company"
161,5.0,"R&D Trainee","Exciting and a good place for career development.","Managed to acquire many skills and new exciting experiences along with precious knowledge.","High workload as it is huge company."
162,5.0,"Production (manufacturing)","Good experience and learn lots of new knowledge.","Everyone is very tolerant and help each other even in a different department. The salary was also quite high for a starting job. I would recommend everyone to work at Top Glove!","The challenging part is timing. Everything needs to be done quickly but with good results. In Top Glove, everyone needs to come with a lot of ideas and think creatively about how to solve problems."
163,4.0,"Customer services","Provide correspondence and meet customer needs to ensure customer satisfaction in choosing the best courier service","Solve outlet problems well and always monitor employees well","Always provide the latest information without explaining in detail and not much benefits while working there"
164,4.0,"Supervisor","shows extraordinary information","I want do something attract and i show I job very extradinary to people job a there","Stress about job or have document many"
165,4.0,"Operator","The Top Company in Asia","Nice work, and not pressure","Material weight and material hard work"
166,5.0,"R&D chemist","I. Project mainly focused on the process improvement and enhancement. II. Duty as a Chemist also involving analysis of several chemicals that used in the production to improve the quality of finish goods. III. Involving in monitoring and troubleshooting on the quality control system and chemical handling for production process IV. Involving in documentation to comply with Medical device regulation (MDR)","I. Project mainly focused on the process improvement and enhancement. II. Duty as a Chemist also involving analysis of several chemicals that used in the production to improve the quality of finish goods. III. Involving in monitoring and troubleshooting on the quality control system and chemical handling for production process IV. Involving in documentation to comply with Medical device regulation (MDR)","I. Project mainly focused on the process improvement and enhancement. II. Duty as a Chemist also involving analysis of several chemicals that used in the production to improve the quality of finish goods. III. Involving in monitoring and troubleshooting on the quality control system and chemical handling for production process IV. Involving in documentation to comply with Medical device regulation (MDR)"
167,3.0,"Researcher","Commit only if you really can","Salary &benefits, understanding boss if u r lucky enough to get","Unnecessary work load & pressure"
168,4.0,"IT","I would like to work here because i have experience in information technology.","Rapport and cleanliness environment","Working during weekends"
169,1.0,"HR executive","Not a pleasant experience","Good colleagues and that's all.","You need to deal with top level management that will simply throw harsh words in meeting such as brainless to you. Then u need to go to spot check at the factory in the midnight with minimal incentives."
170,5.0,"Technical engineer","Experience in electrical field for a year","Always do the job accurately. Work done satisfactorily. Present at the workplace at an exact time","Do repair and damage work"
171,5.0,"Office staff","I can't seriously in job","I can't work overtime","I won't to get job to live"
172,5.0,"Secondary process","Experience company work","Learn good knowledgegood atitude,respect for other respect our self love working can learn control self","Control by company and other employee low salarry report or complient by others rules and company rwgulations"
173,1.0,"Operations","Working hard, can work under control","Can get new experience, good managment, good rule","I think every work is challenging"
174,4.0,"R&D chemist","Aggressive culture and good career development.","High salary rate and peoples always support new staff.","Tasks need to be completed in a short period of time."
175,5.0,"Admin clerk","Handle to all secretary committees for slot meeting for daily meeting, scheduling meeting, Email all committee members, collect all materials presentations.setting meeting room.","There are so many wonderful things about working for the company. My favorite is probably the flexibility I have with my hours. I also love the company culture and enjoy working with everyone. A lot of employees love their jobs because it looks great on a resume and allows them to gain a lot of knowledge.","Able to multitask and work under minimum supervision. Thrive on working a challenging environment."
176,2.0,"Personal banker","I would like to apply for a job in this company","hardworking,discipline, punctual, elert, learn quickly","strong mentally and physically,maintaining quality of work"
177,4.0,"Electrical technician","it's good to work at PCA Engineering Sdn. Bhd. because you can get a lot of experience in electrical work like traffic light installation","good culture and the supervisor are so nice","work in a high place and at the hot place"
178,5.0,"Admin clerk","I have experience 3 years in this field.","I not yet start working here.if i would had a change work here i will be work hard.","I not yet start working here.if i would had a change work here than i can comment."
179,4.0,"Admin officer","Looking a new experience and try another job","Because i want to try and join this company to make more experience our life and see the other job for a future.","Hardworking, honest, responsible and make a more experience for this type job."
180,5.0,"IQA incoming quality control","im working at japanese since 1994","1994 to 2002 that my experiances ihave experiences in industries under quality control almost 8years","good effort n good opportunity to work here"
181,4.0,"Production operator","Interested in working with this company even though I have no work experience","Interested in work that I can do and be comfortable with","I have no work experience in this company"
182,4.0,"Kerani","I wish this job can give me more experience when","I enjoy when i working there","I am so tired when i have to do much work"
183,5.0,"Accaountant","Intern at family mart","I want to make experience","Top glove near my home"
184,5.0,"Admin assistant","I have experience on admin assistant 1 year at company accountant..","I have experience in department... I can learn to cooperate with each other while exchange ideas","My old experience, i'll share with a new friends.. I willing to cooperate wih each other.."
185,5.0,"Admin officer","When im doing my intern, my compony give me 3 place diffrent. I got high marks in three in all places","Of course im enjoy . The reason is i really love work. When i got a work, i must ended the work becouse i really hate relay work","Im really enjoy this compony. So i dont think this compony have a challenges"
186,4.0,"Job","Can work for new experient and can be the best","I want work and helping my family","Can teach me new experient"
187,5.0,"Supervisor production","i experience to gloves is 12 year old","the top gloves verry good","i working to you company i experience to gloves is 12 year old"
188,5.0,"Eksekutif","I like to work at top glove company","I will getting experience and benefit","Environment and social work"
189,2.0,"Admin","I'm experienced in admin based environment more than 3 years.","Gain experience Cheerfulness gain knowledge of big industry","Hardwork Team work miscommunication Daily task Meeting"
190,4.0,"Anything","Interesting, clean environment and just use minimum energy.","Actually, I just love the clean environment and friendly senior staff.","Nothing. I need to accept all of challenges in order to be success"
191,4.0,"Assistance manager","I have experience work at industry","Because I feel easy n I try to work for find experience","I will try my best for work this company..I will work hard I can discplin n work more time also"
192,4.0,"Customer service administrator and logistics operation clerk","I'm vaan Nilaa Vijiyan from Sepang Selangor...I'm previous Company Name is GCH RETAIL SDN BHD..I got 4 years experience based customer service,admin clerk and logistics operation clerk...and I get awards for best employee of month.","Proficient in Microsoft Office Excellent and on hands knowledge of warehouse management systems such as SOP,SAP, EXCEL & WMS Availability to provide leadership, train and motivate staffs to achieve logistics KPI Excellent management skills To respond and resolve customer complaints and enquiries To provide timely and detailed performance and progress reports","I have to prove my skills and show my level of experience... I would like to share my knowledge of what I learned from the Company before"
193,2.0,"Clerk","Top glove corporation bhd is a malaysian rubber glove manufacturer","Because the work situation is good for me and i can learn more about the job","I can get experience a lot if i can work there"
194,5.0,"Chemist","enjoyable and a lot to learn","chances for career growth and a lot of young energy","fast pace and work balance"
195,5.0,"Intern","Enrich-able industrial training experience.","Friendly and team-working colleagues and supervisor. Periodical equipment maintenance in order to obtain accurate and precise results.","Work under pressure to achieve zero defect product."
196,5.0,"Packaging specialist","good work, c0-worker nice","good work environment","no challenges,good work, got overtime"
197,4.0,"safety and health executive","good for gain experience","fast learn and able to work under pressure","a bit tough but good for learn from big company"
198,5.0,"Shipping assistant","Best place for learning process","Good Time Managemnet and willing to hear employees suggestion","Pucntual of check in and check out do something out of your job scope"
199,5.0,"Trainee Warehouse","Nice and good for practical","Good salary, good managament","Stress level high, problem worker"
